date,startup,vertical,subvertical,city,investors,round,amount (Cr)
2016-06-09,Teabox,E-Commerce,Online Tea Store,Siliguri,cameron jones,Seed Funding,0.0
2016-06-09,Extraaedge,Consumer Internet,Student Acquisition Platform,Pune,"ritesh dwivedy,priti padhy",Seed Funding,0.0
2016-06-09,Epaylater,Technology,Fin-Tech Platform,Mumbai,3 undisclosed hnis,Seed Funding,16.5
2016-06-10,Kyazoonga,E-Commerce,Online event ticketing Platform,Mumbai,ratan tata,Seed Funding,0.0
2016-06-10,Paytunes,Consumer Internet,Mobile based rewards platform,New Delhi,"cio angel network,indian angel network",Private Equity,4.125
2016-06-10,Kickstart jobs,Technology,Entry level hiring platform,Gurgaon,"vivek joshi,amit banati,arun khanna,mohit satyanand",Seed Funding,0.0
2016-06-10,Freshee,FMCG,Household packaging & Storage product manufacturer,Mumbai,edelweiss private equity,Private Equity,0.0
2016-06-10,Madrat games,Technology,Wearable Gaming Platform,Bangalore,"ratan tata,bhavish aggarwal,ankit bhati,binny bansal,girish mathrubootham",Seed Funding,0.0
2016-06-11,Jazzmyride,E-Commerce,Auto Parts & Accessories eTailer,New Delhi,tvs automobile solutions ltd,Private Equity,0.0
2016-06-11,Autosense,Technology,Data Analytics based Customer Management Services,New Delhi,tvs automobile solutions ltd,Private Equity,0.0
2016-06-11,Redsun telematics,Consumer Internet,Internet of Things Platform,Chennai,tvs automobile solutions ltd,Private Equity,0.0
2016-06-13,Khanagadi,Consumer Internet,Online Food Delivery for Train Travelers,Jaipur,50k ventures,Seed Funding,0.0
2016-06-13,Bombay shirt company,E-Commerce,Online custom Shirt retailer,Mumbai,undisclosed investor,Private Equity,8.25
2016-06-14,Edtechreview,Consumer Internet,Education based online portal,New Delhi,evc ventures,Seed Funding,0.0
2016-06-14,Bonhomia,Food & Beverage,Premium Tea & Coffee Capsules maker,New Delhi,valpro capital and existing investors,Private Equity,0.0
2016-06-14,Gobolt,Logistics,B2B Logistics provider,New Delhi,mcube8,Seed Funding,0.0
2016-06-14,Jivox,Technology,Data Driven Advertising platform,Bangalore,"fortisure ventures,diaz nesamoney,you,mr jones",Private Equity,49.5
2016-06-14,Sminq,Consumer Internet,Queue management Mobile app,Pune,"saama capital,blume ventures,vaibhav domkundwar",Seed Funding,8.25
2016-06-14,Curejoy,Consumer Internet,Online Alternative health community platform,Bangalore,accel partners india,Private Equity,36.3
2016-06-15,Oneway.cab,Consumer Internet,Taxi Rental Platform,Vadodara,indian angel network,Seed Funding,3.7125
2016-06-15,Grabonrent,E-Commerce,On-demand product rental marketplace,Bangalore,ivycap ventures and unicorn india ventures,Private Equity,0.0
2016-06-16,Diro labs,Consumer Internet,Contact Management Mobile App,New Delhi,info edge (india) ltd,Private Equity,3.7125
2016-06-16,Unnati helpers,Consumer Internet,Help Hiring Platform,Gurgaon,info edge (india) ltd,Private Equity,4.95
2016-06-16,Athletto,Consumer Internet,Sports Venue discovery and booking platform,Bangalore,atul ingle,Seed Funding,0.0
2016-06-16,Saavn,Consumer Internet,Web/Mobile Music Streaming service,USA,guy oseary,Private Equity,0.0
2016-06-16,Voonik,E-Commerce,Online Women\\xe2\\x80\\x99s Fashion Marketplace,Bangalore,sequoia capital,Private Equity,165.0
2016-06-16,Thinkphi,Technology,Sustainable Green Tech Solution developer,Mumbai,nimmagadda prasad,Seed Funding,0.0
2016-06-17,Cleartax,Consumer Internet,Online Tax Filing Platform,New Delhi,"ravi adusumalli,saif partners",Private Equity,99.0
2016-06-17,Silvan innovation labs,Technology,Home Automation Solutions,Bangalore,infuse ventures,Private Equity,7.425
2016-06-17,Greythr,Technology,Payroll & HR Software Developer,Bangalore,"new enterprise associates,blume ventures",Private Equity,42.9
2016-06-17,Duffl,E-Commerce,Fashion Rental Marketplace,Bangalore,betonindia technology pvt ltd,Seed Funding,0.0
2016-06-17,Byg,Consumer Internet,Fitness centre Discovery & Booking Mobile app,Bangalore,"sanjay verma,amit khanna",Seed Funding,0.0
2016-06-20,Dipper,E-Commerce,Freight Logistics Marketplace,New Delhi,undisclosed investor,Seed Funding,0.0
2016-06-20,Qonfuse,Consumer Internet,Online Test Papers for competitive exams,New Delhi,hamraj kumar,Seed Funding,0.0
2016-06-20,The indian iris,Consumer Internet,Govt Policy Research & Information portal,Ahmedabad,timbru ventures,Seed Funding,0.0
2016-06-21,Onspoon,Consumer Internet,Online Platform for Event Sponsorship,Mumbai,swan angel network,Seed Funding,1.2375
2016-06-21,Restate,Consumer Internet,Real Estate Platform,Bangalore,idein ventures,Seed Funding,0.0
2016-06-21,Cleartrip,Consumer Internet,Online Travel Agency,Mumbai,"concur technologies,gund investment",Private Equity,0.0
2016-06-21,Procmart,Consumer Internet,Online Procurement Marketplace,Noida,indiamart,Private Equity,0.0
2016-06-21,Celerix,Technology,Fintech Product Development & Services Startup,Bangalore,bitkemy ventures,Seed Funding,3.3
2016-06-21,Naturenama,Consumer Internet,Online Outdoors & travel,Mumbai,unicorn venture,Seed Funding,1.85625
2016-06-21,Cyclopsmedtech,Technology,Medical Technology Provider,Bangalore,cp bothra,Seed Funding,0.0
2016-06-21,Syona cosmetics,FMCG,Beauty Products & Training to Salons & Spas,Chennai,the chennai angels,Seed Funding,1.2375
2016-06-21,Prettysecrets,E-Commerce,Women Lingerie Store,Mumbai,"rb investments pte ltd,orios venture partners",Private Equity,49.5
2016-06-22,Spiderg,Consumer Internet,Online invoice app for SMEs,Pune,"rahul kirloskar,fusion tech ventures,adi saravanan,pravin dongre,mahendra doshi",Seed Funding,1.2375
2016-06-23,Fareye,Technology,Logistics Management Software,New Delhi,saif partners,Private Equity,28.875
2016-06-23,The uolo,Consumer Internet,School Parent Communication App,Bangalore,"purvi ventures,rajul garg,vipin arora",Seed Funding,1.7325
2016-06-23,Staqu,Technology,Artificial Intelligence based search platform,Gurgaon,indian angel network,Seed Funding,0.0
2016-06-23,Padhopadhao,Consumer Internet,Home Tutors search & Discovery,New Delhi,rise india,Private Equity,0.0
2016-06-24,Drivify,Consumer Internet,Professional Driver discovery & Booking Mobile app,Mumbai,"jitendra gupta,pankaj tripathi",Seed Funding,0.4125
2016-06-24,Pratilipi,Consumer Internet,Multi-Lingual self-publishing platform,Bangalore,nexus venture partners,Seed Funding,0.0
2016-06-24,Parablu,Technology,Cloud Data Security & Privacy Solutions,Bangalore,kalaari capital,Seed Funding,4.125
2016-06-24,Schedulers logistics,Logistics,Cold Storage Logistics solutions,Mumbai,gvfl,Private Equity,49.5
2016-06-24,Leap india,Others,Supply Chain Equipment & Services provider,Mumbai,mayfield ventures,Private Equity,24.75
2016-06-24,Kabadiexpress,Others,Free Door Step Scrap Pickup Service,New Delhi,undisclosed investor,Seed Funding,1.221
2016-06-27,Yourdost,Consumer Internet,Online counselling & Personal coaching platform,Bangalore,"saif partners,aprameya,phanindra sama,subba rao telidevara,vibhu garg,paula ravindra mariwala,gaurav bhalotia",Seed Funding,9.9
2016-06-27,Gomalon,Consumer Internet,Online Spa & Salon discovery & Booking platform,Bangalore,undisclosed investor,Seed Funding,0.825
2016-06-27,Voler cars,Consumer Internet,Self-Driven Car rental platform,New Delhi,"kanodia family,amit banka",Seed Funding,0.0
2016-06-27,Travelyaari,Consumer Internet,Online ticket booking platform,Bangalore,gvfl ltd,Private Equity,24.75
2016-06-28,Fabhotels,Consumer Internet,Online Hotel aggregator & Booking platform,Gurgaon,"accel,rb investments",Private Equity,66.0
2016-06-28,Locanix,Technology,GPS based SaaS Solutions,Ahmedabad,undisclosed investors,Seed Funding,2.475
2016-06-28,Lendingkart,Consumer Internet,Online Working Capital Business Loans Platform,Ahmedabad,"bertelsmann india,mayfield,saama capital,india",Private Equity,264.0
2016-06-28,Hello tax,Consumer Internet,Online Tax Filing Platform,New Delhi,sanjeev sinha,Seed Funding,2.43375
2016-06-28,Mysuperbrain,Consumer Internet,Online Talent Discovery Platform for Kids,Hyderabad,soniks consulting,Seed Funding,0.0
2016-06-28,Blogbeats,Consumer Internet,Online Blogging Platform,Bangalore,undisclosed investor,Seed Funding,0.0
2016-06-29,Letreach,E-Commerce,ECommerce SAAS Solutions,New Delhi,vcommission,Private Equity,0.825
2016-06-29,Trendieapp,Technology,Visual Content Marketing,Kolkata,harsh vardhan hada,Seed Funding,0.4125
2016-06-29,Impactguru,Consumer Internet,Crowdfunding Platform,Mumbai,piyush jain,Seed Funding,0.0
2016-06-29,Velvetcase,E-Commerce,Online designer jewellery marketplace,Mumbai,"uniqorn ventures,s somasegar,tv mohandas pai",Private Equity,12.375
2016-06-30,Meru cabs,Consumer Internet,Online/ Mobile Tax Cab booking,Mumbai,brand capital,Private Equity,206.25
2016-06-30,Campus diaries,Consumer Internet,Student focussed Content Discovery portal,Bangalore,aarin capital,Seed Funding,1.815
2016-06-30,Scripbox,Consumer Internet,Online Mutual Fund Investment platform,Bangalore,"omidyar network,accel,existing",Private Equity,0.0
2016-06-30,Biryani blues,Food & Beverage,QSR Chain,Gurgaon,carpediem capital & others,Private Equity,3.036
2016-05-01,Motomojo,Consumer Internet,Mobile based Vehicle maintenance App,Mumbai,"niloufer dundh,fauzan rahim,balamurugan mani,",Seed Funding,0.0
2016-05-01,Get my parking,Technology,Parking Technology Platform,New Delhi,the chennai angels,Seed Funding,3.102
2016-05-01,Prescribez,Consumer Internet,Health Service Aggregator Platform,Pune,ankush mehta,Seed Funding,1.19625
2016-05-02,Airwood,Technology,Agri Data & Analytics Platform,Chennai,startupxseed ventures,Seed Funding,0.0
2016-05-03,Mobikwik,Consumer Internet,Mobile & Digital Wallet,Gurgaon,"gmo payment gateway,mediatek",Private Equity,412.5
2016-05-03,Idreamcareer,Consumer Internet,Career Planning Services Portal,New Delhi,brand capital,Private Equity,0.0
2016-05-03,Zwayam,Consumer Internet,Online Recruitment Platform,Bangalore,undisclosed investors,Seed Funding,2.0625
2016-05-03,Boibanit,Consumer Internet,Online Food Delivery platform,Vadodara,undisclosed investors,Seed Funding,0.0
2016-05-03,Zuver,Consumer Internet,Car driver Discovery App,Mumbai,"hermes group,shruth,smith group",Seed Funding,1.485
2016-05-03,Prepathon,Education,Competitive Exam learning platform,Mumbai,blume ventures,Private Equity,0.0
2016-05-04,Easyroads,Consumer Internet,Road Trip planning Mobile app,Mumbai,"rohan angrish,hrishi oberoi,rahul mehta,kapil hetamsaria,pranav dedhia",Seed Funding,1.65
2016-05-04,Lenskart,E-Commerce,Eyewear & Accessories etailer,New Delhi,"international finance corp,tpg,adveq management,idg,ratan tata,kris gopalakrishnan",Private Equity,495.0
2016-05-04,Seclore,Technology,Enterprise Security Technology platform,Mumbai,"sistema asia fund,helion venture,ventureeast,india",Private Equity,99.0
2016-05-04,Solartown,Technology,Solar Rooftop system installation company,Chennai,grex.in,Seed Funding,1.65
2016-05-04,Comarete,Technology,Telecom & Media IT services company,Pune,grex.in,Seed Funding,1.65
2016-05-04,Mydentistchoice,E-Commerce,Medical Supplies eTailer,Hyderabad,undisclosed investors,Seed Funding,1.2375
2016-05-04,Active.ai,Technology,Intelligent Tech platform for Finance vertical,Singapore,kalaari capital accelerator program,Seed Funding,4.125
2016-05-04,Affordplan,Technology,Affordable non-emergency medical service health plans,New Delhi,kalaari capital accelerator program,Seed Funding,4.125
2016-05-04,Indee,Consumer Internet,Web Video Streaming Platform,Bangalore,kalaari capital accelerator program,Seed Funding,4.125
2016-05-05,Unbxd,Technology,eCommerce product discovery software,New Delhi,"idg,inventus capital,indian angel network",Private Equity,0.0
2016-05-05,Weballigator,Consumer Internet,Cloud Based Software Solutions,Bangalore,group of undisclosed angel investors & hnis,Seed Funding,3.09375
2016-05-06,Eduace services,Education,Education Workshops & mentoring programs,Lucknow,momagic technologies,Private Equity,8.25
2016-05-06,Meesho,E-Commerce,Social commerce platform,Bangalore,rajul garg & others,Seed Funding,0.0
2016-05-07,Zebroads,Logistics,Logistics and Warehousing services,Hyderabad,undisclosed investors,Seed Funding,0.61875
2016-05-09,Locus,Technology,Logistics Intelligence platform,Bangalore,"exfinity venture,blume ventures,beenext,rajesh ranavat",Private Equity,22.6875
2016-05-09,Toko innovations,Consumer Internet,Children\\xe2\\x80\\x99s Entertainment Portal,Bangalore,"roopak saluja,vishal khare",Seed Funding,3.7125
2016-05-09,Rentickle,E-Commerce,"Furniture, appliances Portal",New Delhi,"manish kheterpal,vinay mittal,dinesh mittal,sandeep gupta",Seed Funding,2.0625
2016-05-10,Healthifyme,Consumer Internet,Health & Fitness App,Bangalore,"idg ventures,inventus capital,blume ventures",Private Equity,49.5
2016-05-10,Zarget,Consumer Internet,Conversion Rate Optimization Platform,Chennai,"accel,matrix partners,girish mathrubootham",Private Equity,12.375
2016-05-10,Innonano research,Technology,Clean Water Technology,Chennai,nanoholdings,Private Equity,148.5
2016-05-10,Schoolwear,E-Commerce,School Uniform & Supplies Marketplace,Mumbai,undisclosed investors,Seed Funding,12.375
2016-05-10,Swiggy,Consumer Internet,Food Delivery Platform,Bangalore,"norwest venture partners,dst global,accel",Private Equity,57.75
2016-05-11,Zenify,Consumer Internet,Home rental Discovery & Booking Portal,Bangalore,undisclosed investors,Private Equity,7.425
2016-05-11,Faircent,Consumer Internet,Online Peer to Peer Lending platform,Gurgaon,"jm financial products ltd,arun tadanki,kshitij jain,doreswamy nandkishore",Private Equity,0.0
2016-05-11,Fractal analytics,Technology,Data Analytics Company,Mumbai,khazanah nasional berhad,Private Equity,825.0
2016-05-12,Unacademy,Consumer Internet,Free Online Education Platform,Bangalore,"blume ventures,sumit jain,aprameya,sujeet kumar,phanindra sama,rajan anandan",Seed Funding,4.125
2016-05-12,Capital float,Consumer Internet,Online Lending Platform,Bangalore,"creation investments capital management,saif partners,sequoia,aspada",Private Equity,206.25
2016-05-12,Life circle,Healthcare,Senior Healthcare Services,Hyderabad,groupe sos,Private Equity,1.2375
2016-05-12,Dream wallets,Consumer Internet,Online Crowdfunding platform,Jaipur,"rakesh,aditya aggarwal,siddharth banerjee,vikas ranjan,anshul jindal,sunil koul,,sanjeev agrawal",Seed Funding,0.0
2016-05-12,Shabdnagari,Consumer Internet,Hindi social networking portal,Kanpur,ah! ventures,Seed Funding,0.0
2016-05-12,Galleri5,Consumer Internet,Visual Content Discovery platform,Bangalore,"phanindra sama,,raghunandan g",Seed Funding,0.0
2016-05-12,Derbii,Logistics,Carpooling Services,Gurgaon,anurag chauhan,Seed Funding,0.0
2016-05-13,Stayzilla,Consumer Internet,Budget Room Aggregator Booking platform,Chennai,"matrix partners,nexus",Private Equity,111.375
2016-05-13,Wowexpress,Logistics,E-Commerce Logistics Solutions,Mumbai,undisclosed investors & tamarind family private trust,Private Equity,18.15
2016-05-16,Smartivity,E-Commerce,Smart Learning products,Delhi,"advantedge,s chand",Private Equity,8.25
2016-05-16,Bedbathmore,Consumer Internet,Home Decor eMarketplace,Mumbai,"kinnevik group,rocket internet",Private Equity,0.0
2016-05-17,Murgency,Consumer Internet,Medical Emergency Response App,Mumbai,rata tata,Private Equity,0.0
2016-05-17,Crownit,Consumer Internet,Mobile customer rewards management platform,Gurgaon,"undisclosed,accel,helion venture",Private Equity,0.0
2016-05-17,Blinge,E-Commerce,Apparel Rental platform,Mumbai,"anupam mittal,anuj srivastava,ankit nagori",Seed Funding,0.0
2016-05-18,Thesmartq,Consumer Internet,Food Ordering Mobile App,Bangalore,yournest angel fund,Seed Funding,2.0625
2016-05-18,Purplehealth,Consumer Internet,Online health-on-demand platform,Trivandrum,katabole technology venture,Seed Funding,0.825
2016-05-18,Fundamentor,Education,Aptitude Development Program,Pune,subramanya sv,Seed Funding,0.0
2016-05-18,Edupristine,Education,Online Certification Courses,Mumbai,"kaizen management advisors,devry inc",Private Equity,82.5
2016-05-18,Bhiveworkspace,Reality,Co-Working Spaces,Bangalore,blume ventures,Private Equity,8.25
2016-05-18,Parentlane,Consumer Internet,Parenting & Child Care app,Bangalore,"sujeet kumar,aprameya,sumit jain,subramanya venkat,venk,ravi machani,hitesh gupta,rohit",Seed Funding,0.0
2016-05-19,Appie,Consumer Internet,Location-based offline retail discovery platform,Mumbai,undisclosed investors,Seed Funding,8.25
2016-05-19,Niki.ai,Technology,Artificial Intelligence Platform,Bangalore,ratan tata,Private Equity,0.0
2016-05-19,Taxivaxi,Consumer Internet,Cab Aggregating Platform,New Delhi,undisclosed hnis,Seed Funding,4.125
2016-05-19,Veqta,Consumer Internet,On Demand Digital Sports Network,New Delhi,"chatsworth management,itw digital",Seed Funding,4.125
2016-05-20,I2ifunding,Consumer Internet,Online Peer to Peer Funding,Noida,undisclosed investors,Seed Funding,2.475
2016-05-23,Edurev,Consumer Internet,Online Learning Platform,Gurgaon,pradeep reddy kamasan,Seed Funding,0.0
2016-05-23,Hoppingo,Consumer Internet,Fashion Discovery platform,New Delhi,vcommission,Seed Funding,0.73425
2016-05-24,Eatonomist,Consumer Internet,Food Delivery Platform,Gurgaon,mcube capital advisors pvt ltd,Seed Funding,0.0
2016-05-24,Goalwise,Consumer Internet,Online investment platform,Bangalore,undisclosed hnis,Seed Funding,8.25
